book,chapter,expected_verses,actual_verses,match
JDG,6,40,40,True
JDG,7,25,25,True
JDG,8,35,35,True
JDG,9,57,57,True
JDG,10,18,18,True
JDG,11,40,40,True
JDG,12,15,15,True
JDG,13,25,25,True
JDG,14,20,20,True
JDG,15,20,20,True
JDG,16,31,31,True
JDG,17,13,13,True
JDG,18,31,31,True
JDG,19,30,30,True
JDG,20,48,48,True
JDG,21,25,25,True
RUT,1,22,22,True
RUT,2,23,23,True
RUT,3,18,18,True
RUT,4,22,22,True
1SA,1,28,28,True
1SA,2,36,36,True
1SA,3,21,21,True
1SA,4,22,22,True
1SA,5,12,12,True
1SA,6,21,21,True
1SA,7,17,17,True
1SA,8,22,22,True
1SA,9,27,27,True
1SA,10,27,27,True
1SA,11,15,15,True
1SA,12,25,25,True
1SA,13,23,23,True
1SA,14,52,52,True
1SA,15,35,35,True
1SA,16,23,23,True
1SA,17,58,58,True
1SA,18,30,30,True
1SA,19,24,24,True
1SA,20,42,42,True
1SA,21,15,15,True
1SA,22,23,23,True
1SA,23,29,29,True
1SA,24,22,22,True
1SA,25,44,44,True
1SA,26,25,25,True
1SA,27,12,12,True
1SA,28,25,25,True
1SA,29,11,11,True
1SA,30,31,31,True
1SA,31,13,13,True
2SA,1,27,27,True
2SA,2,32,32,True
2SA,3,39,39,True
2SA,4,12,12,True
2SA,5,25,25,True
2SA,6,23,23,True
2SA,7,29,29,True
2SA,8,18,18,True
2SA,9,13,13,True
2SA,10,19,19,True
2SA,11,27,27,True
2SA,12,31,31,True
2SA,13,39,39,True
2SA,14,33,33,True
2SA,15,37,37,True
2SA,16,23,23,True
2SA,17,29,29,True
2SA,18,33,33,True
2SA,19,43,43,True
2SA,20,26,26,True
2SA,21,22,22,True
2SA,22,51,51,True
2SA,23,39,39,True
2SA,24,25,25,True
1KI,1,53,53,True
1KI,2,46,46,True
1KI,3,28,28,True
1KI,4,34,34,True
1KI,5,18,18,True
1KI,6,38,38,True
1KI,7,51,51,True
1KI,8,66,66,True
1KI,9,28,28,True
1KI,10,29,29,True
1KI,11,43,43,True
1KI,12,33,33,True
1KI,13,34,34,True
1KI,14,31,31,True
1KI,15,34,34,True
1KI,16,34,34,True
1KI,17,24,24,True
1KI,18,46,46,True
1KI,19,21,21,True
1KI,20,43,43,True
1KI,21,29,29,True
1KI,22,53,53,True
2KI,1,18,18,True
2KI,2,25,25,True
2KI,3,27,27,True
2KI,4,44,44,True
2KI,5,27,27,True
2KI,6,33,33,True
2KI,7,20,20,True
2KI,8,29,29,True
2KI,9,37,37,True
2KI,10,36,36,True
2KI,11,21,21,True
2KI,12,21,21,True
2KI,13,25,25,True
